Topology_ID,N,Topology_Type,Edges,Avg_Degree,Final_r(t),Image_File
93,100,random,1785,35.7,0.6337467149440063,topo_93_N100_random.png
94,100,random,1532,30.64,0.4380025874977762,topo_94_N100_random.png
95,100,random,1806,36.12,0.8809598136805628,topo_95_N100_random.png
96,100,random,1238,24.76,0.3048153878034625,topo_96_N100_random.png
97,100,random,1592,31.84,0.6306329659704852,topo_97_N100_random.png
98,100,random,1770,35.4,0.4950239856475998,topo_98_N100_random.png
99,100,random,2176,43.52,0.8851453161372413,topo_99_N100_random.png
100,100,random,2289,45.78,0.912600965857774,topo_100_N100_random.png
101,100,random,2032,40.64,0.7946703882418219,topo_101_N100_random.png
102,100,random,1616,32.32,0.7058469007260675,topo_102_N100_random.png
103,100,random,1912,38.24,0.842569653892309,topo_103_N100_random.png
104,100,random,1017,20.34,0.1162944760264974,topo_104_N100_random.png
105,100,random,1417,28.34,0.19702005935514774,topo_105_N100_random.png
106,100,random,1943,38.86,0.7462999674915348,topo_106_N100_random.png
107,100,random,1960,39.2,0.7845995582845886,topo_107_N100_random.png
108,100,random,2202,44.04,0.9324035845468388,topo_108_N100_random.png
109,100,random,1499,29.98,0.6121125224409423,topo_109_N100_random.png
110,100,random,1015,20.3,0.31595229458544,topo_110_N100_random.png
111,100,random,2435,48.7,0.922459143608708,topo_111_N100_random.png
112,100,random,2382,47.64,0.9486376183188088,topo_112_N100_random.png
113,100,random,1049,20.98,0.1561584112482227,topo_113_N100_random.png
114,100,random,1318,26.36,0.16165622875145189,topo_114_N100_random.png
115,100,random,1201,24.02,0.2345252226098167,topo_115_N100_random.png
116,100,random,1194,23.88,0.17193786217583729,topo_116_N100_random.png
117,100,random,1285,25.7,0.4157719939709109,topo_117_N100_random.png
118,100,random,2227,44.54,0.8620615709788234,topo_118_N100_random.png
119,100,random,1584,31.68,0.751156070965812,topo_119_N100_random.png
120,100,random,2395,47.9,0.9358638447662387,topo_120_N100_random.png
121,100,random,1474,29.48,0.05527295990553896,topo_121_N100_random.png
122,100,random,2362,47.24,0.8983782008605368,topo_122_N100_random.png
123,100,random,1013,20.26,0.2515307779009741,topo_123_N100_random.png
124,100,random,1642,32.84,0.7289212647327131,topo_124_N100_random.png
125,100,random,1747,34.94,0.7570198513980408,topo_125_N100_random.png
126,100,random,2251,45.02,0.8511828462357175,topo_126_N100_random.png
127,100,random,2275,45.5,0.9096016210367283,topo_127_N100_random.png
128,100,random,2151,43.02,0.8950551507537754,topo_128_N100_random.png
129,100,random,1568,31.36,0.7829096176975021,topo_129_N100_random.png
130,100,random,1363,27.26,0.38482913986316214,topo_130_N100_random.png
131,100,random,1355,27.1,0.31916230580119975,topo_131_N100_random.png
132,100,random,2004,40.08,0.9056797641705924,topo_132_N100_random.png
133,100,random,2155,43.1,0.8461992523181976,topo_133_N100_random.png
134,100,random,1640,32.8,0.5728647752176547,topo_134_N100_random.png
135,100,random,1921,38.42,0.8754096466792083,topo_135_N100_random.png
136,100,random,2194,43.88,0.8996335404729159,topo_136_N100_random.png
137,100,random,1349,26.98,0.5371223816529135,topo_137_N100_random.png
138,100,random,1154,23.08,0.2629894303522776,topo_138_N100_random.png
139,100,random,1154,23.08,0.3584893812126847,topo_139_N100_random.png
140,100,random,1758,35.16,0.7366381562091737,topo_140_N100_random.png
141,100,random,1660,33.2,0.6140193737040017,topo_141_N100_random.png
142,100,random,1168,23.36,0.3395174414475212,topo_142_N100_random.png
143,100,random,1669,33.38,0.7197306258130226,topo_143_N100_random.png
144,100,random,1326,26.52,0.02469856621380133,topo_144_N100_random.png
145,100,random,1764,35.28,0.7273489379600534,topo_145_N100_random.png
146,100,random,2099,41.98,0.7053554516779112,topo_146_N100_random.png
147,100,random,1982,39.64,0.8578030727491387,topo_147_N100_random.png
148,100,random,1745,34.9,0.6510176565102973,topo_148_N100_random.png
149,100,random,1802,36.04,0.8245007846862911,topo_149_N100_random.png
150,100,random,2210,44.2,0.8472359997136816,topo_150_N100_random.png
151,100,random,1012,20.24,0.4925352329668205,topo_151_N100_random.png
152,100,random,1054,21.08,0.23308445244597234,topo_152_N100_random.png
153,100,random,2025,40.5,0.8868265533539955,topo_153_N100_random.png
154,100,random,1066,21.32,0.20283908875938367,topo_154_N100_random.png
155,100,random,1168,23.36,0.21401941343911302,topo_155_N100_random.png
156,100,random,2366,47.32,0.9099402476600126,topo_156_N100_random.png
157,100,random,2338,46.76,0.9200021758363397,topo_157_N100_random.png
158,100,random,1907,38.14,0.8034441405365199,topo_158_N100_random.png
159,100,random,1695,33.9,0.13315801667656063,topo_159_N100_random.png
160,100,random,2200,44.0,0.8377928740761192,topo_160_N100_random.png
161,100,random,2347,46.94,0.8667523208997989,topo_161_N100_random.png
162,100,random,1001,20.02,0.13802358031300935,topo_162_N100_random.png
163,100,random,1934,38.68,0.8590522934739986,topo_163_N100_random.png
164,100,random,1595,31.9,0.6220031816457328,topo_164_N100_random.png
165,100,random,2243,44.86,0.895500872503259,topo_165_N100_random.png
166,100,random,2218,44.36,0.8805025200090748,topo_166_N100_random.png
167,100,random,2162,43.24,0.8473613522896498,topo_167_N100_random.png
168,100,random,1612,32.24,0.45742345069227924,topo_168_N100_random.png
169,100,random,2405,48.1,0.9127657979445731,topo_169_N100_random.png
170,100,random,1192,23.84,0.3578699546497127,topo_170_N100_random.png
171,100,random,1518,30.36,0.5008292781874228,topo_171_N100_random.png
172,100,random,965,19.3,0.2678482108340995,topo_172_N100_random.png
173,100,random,1415,28.3,0.3597087393713376,topo_173_N100_random.png
174,100,random,1869,37.38,0.874450858008887,topo_174_N100_random.png
175,100,random,1886,37.72,0.20024125441723148,topo_175_N100_random.png
176,100,random,1946,38.92,0.574324651515298,topo_176_N100_random.png
177,100,random,2018,40.36,0.8515506858374794,topo_177_N100_random.png
178,100,random,1227,24.54,0.5088494418749642,topo_178_N100_random.png
179,100,random,1122,22.44,0.26454312638669963,topo_179_N100_random.png
180,100,random,1732,34.64,0.7688227848729361,topo_180_N100_random.png
181,100,random,1765,35.3,0.8527418061437564,topo_181_N100_random.png
182,100,random,1019,20.38,0.16918559098705388,topo_182_N100_random.png
183,100,random,1205,24.1,0.43876128327036973,topo_183_N100_random.png
184,100,random,1644,32.88,0.6332163831373006,topo_184_N100_random.png
185,100,random,2170,43.4,0.8005283785724002,topo_185_N100_random.png
186,100,random,1214,24.28,0.41071719938179735,topo_186_N100_random.png
187,100,random,1184,23.68,0.4859878263538917,topo_187_N100_random.png
188,100,random,1418,28.36,0.70543260388872,topo_188_N100_random.png
189,100,random,2296,45.92,0.8545349647809938,topo_189_N100_random.png
190,100,random,1567,31.34,0.5767494601522597,topo_190_N100_random.png
191,100,random,2020,40.4,0.8964916266669862,topo_191_N100_random.png
192,100,random,1070,21.4,0.21494650716500918,topo_192_N100_random.png
193,100,random,2179,43.58,0.905481232184434,topo_193_N100_random.png
194,100,random,1784,35.68,0.10837243501203912,topo_194_N100_random.png
195,100,random,2388,47.76,0.9132176846560363,topo_195_N100_random.png
196,100,random,987,19.74,0.12575528697730406,topo_196_N100_random.png
197,100,random,1802,36.04,0.603656856506983,topo_197_N100_random.png
198,100,random,1477,29.54,0.49653726242551055,topo_198_N100_random.png
199,100,random,2130,42.6,0.8543403968760919,topo_199_N100_random.png
200,100,random,1824,36.48,0.7077375456023287,topo_200_N100_random.png
201,100,random,1691,33.82,0.14704805131767765,topo_201_N100_random.png
202,100,random,1398,27.96,0.49446648699495316,topo_202_N100_random.png
203,100,random,2060,41.2,0.7899750019984036,topo_203_N100_random.png
204,100,random,1640,32.8,0.4357759044324234,topo_204_N100_random.png
205,100,random,1457,29.14,0.8149645304873959,topo_205_N100_random.png
206,100,random,1104,22.08,0.2867175743078112,topo_206_N100_random.png
207,100,random,1001,20.02,0.1416362508980051,topo_207_N100_random.png
208,100,random,1762,35.24,0.6168196830750338,topo_208_N100_random.png
209,100,random,1509,30.18,0.14758187352197424,topo_209_N100_random.png
210,100,random,1664,33.28,0.6566558638515865,topo_210_N100_random.png
211,100,random,1207,24.14,0.26103939719190533,topo_211_N100_random.png
212,100,random,2351,47.02,0.893266380939679,topo_212_N100_random.png
213,100,random,1998,39.96,0.8784284319902111,topo_213_N100_random.png
214,100,random,1927,38.54,0.8598010824722877,topo_214_N100_random.png
215,100,random,2006,40.12,0.8712957650825335,topo_215_N100_random.png
216,100,random,2224,44.48,0.9070280767629936,topo_216_N100_random.png
217,100,random,1656,33.12,0.5737838994755994,topo_217_N100_random.png
218,100,random,1036,20.72,0.42161341619835263,topo_218_N100_random.png
219,100,random,1453,29.06,0.5615266876331269,topo_219_N100_random.png
220,100,random,2221,44.42,0.8990543787341899,topo_220_N100_random.png
221,100,random,1073,21.46,0.24274739894251507,topo_221_N100_random.png
222,100,random,2323,46.46,0.9303111592890981,topo_222_N100_random.png
223,100,random,2491,49.82,0.9134262215231024,topo_223_N100_random.png
224,100,random,1249,24.98,0.1947121491697054,topo_224_N100_random.png
225,100,random,2074,41.48,0.8185321331428043,topo_225_N100_random.png
226,100,random,1856,37.12,0.7584752813341377,topo_226_N100_random.png
227,100,random,1146,22.92,0.3191098419615514,topo_227_N100_random.png
228,100,random,1628,32.56,0.6932435602497135,topo_228_N100_random.png
229,100,random,2300,46.0,0.9179614165411679,topo_229_N100_random.png
230,100,random,1585,31.7,0.6426450593039656,topo_230_N100_random.png
231,100,random,1691,33.82,0.7691946703309568,topo_231_N100_random.png
232,100,random,2297,45.94,0.9046260478998391,topo_232_N100_random.png
233,100,random,1456,29.12,0.06710846178922711,topo_233_N100_random.png
234,100,random,2087,41.74,0.8591819533475082,topo_234_N100_random.png
235,100,random,2175,43.5,0.887008171185865,topo_235_N100_random.png
236,100,random,1429,28.58,0.43147384405727673,topo_236_N100_random.png
237,100,random,1836,36.72,0.7845779459404423,topo_237_N100_random.png
238,100,random,2051,41.02,0.8506599991803162,topo_238_N100_random.png
239,100,random,2128,42.56,0.8652913240315697,topo_239_N100_random.png
240,100,random,1796,35.92,0.7896562261328323,topo_240_N100_random.png
241,100,random,2308,46.16,0.9183774902083488,topo_241_N100_random.png
242,100,random,1619,32.38,0.26335524845644487,topo_242_N100_random.png
243,100,random,2528,50.56,0.8985636926228229,topo_243_N100_random.png
244,100,random,2025,40.5,0.8905420065158418,topo_244_N100_random.png
245,100,random,1073,21.46,0.10379873746107077,topo_245_N100_random.png
246,100,random,2417,48.34,0.8962942253779222,topo_246_N100_random.png
247,100,random,2106,42.12,0.8820398105364844,topo_247_N100_random.png
248,100,random,2269,45.38,0.8770311857004971,topo_248_N100_random.png
249,100,random,2264,45.28,0.9118649642308336,topo_249_N100_random.png
