Topology_ID,N,Topology_Type,Edges,Avg_Degree,Final_r(t),Image_File,Cost,Efficiency
126,100,random,2251,45.02,0.8511828462357175,topo_126_N100_random.png,0.45474747474747473,0.8632686067299367
127,100,random,2275,45.5,0.9096016210367284,topo_127_N100_random.png,0.4595959595959596,0.9225168570352215
128,100,random,2151,43.02,0.8950551507537754,topo_128_N100_random.png,0.43454545454545457,0.9077638445778655
129,100,random,1568,31.36,0.7829096176975021,topo_129_N100_random.png,0.31676767676767675,0.7940259814376289
130,100,random,1363,27.26,0.3848291398631621,topo_130_N100_random.png,0.27535353535353535,0.3902932452973246
131,100,random,1355,27.1,0.3191623058011997,topo_131_N100_random.png,0.2737373737373737,0.3236940221107502
132,100,random,2004,40.08,0.9056797641705924,topo_132_N100_random.png,0.40484848484848485,0.9185393145746373
133,100,random,2155,43.1,0.8461992523181976,topo_133_N100_random.png,0.4353535353535353,0.8582142518440138
134,100,random,1640,32.8,0.5728647752176547,topo_134_N100_random.png,0.33131313131313134,0.580998757827236
135,100,random,1921,38.42,0.8754096466792083,topo_135_N100_random.png,0.3880808080808081,0.8878393982547752
136,100,random,2194,43.88,0.8996335404729159,topo_136_N100_random.png,0.44323232323232326,0.9124072418589411
137,100,random,1349,26.98,0.5371223816529135,topo_137_N100_random.png,0.2725252525252525,0.5447488657737459
138,100,random,1154,23.08,0.2629894303522776,topo_138_N100_random.png,0.23313131313131313,0.26672356019500776
139,100,random,1154,23.08,0.3584893812126847,topo_139_N100_random.png,0.23313131313131313,0.3635794941305119
140,100,random,1758,35.16,0.7366381562091737,topo_140_N100_random.png,0.35515151515151516,0.7470975215103182
141,100,random,1660,33.2,0.6140193737040017,topo_141_N100_random.png,0.33535353535353535,0.6227377015253567
142,100,random,1168,23.36,0.3395174414475212,topo_142_N100_random.png,0.23595959595959595,0.34433817591026494
143,100,random,1669,33.38,0.7197306258130226,topo_143_N100_random.png,0.3371717171717172,0.7299499247596578
144,100,random,1326,26.52,0.0246985662138013,topo_144_N100_random.png,0.2678787878787879,0.025049255794930326
145,100,random,1764,35.28,0.7273489379600534,topo_145_N100_random.png,0.3563636363636364,0.737676407667397
146,100,random,2099,41.98,0.7053554516779112,topo_146_N100_random.png,0.42404040404040405,0.7153706406469689
147,100,random,1982,39.64,0.8578030727491387,topo_147_N100_random.png,0.40040404040404043,0.8699828324027776
148,100,random,1745,34.9,0.6510176565102973,topo_148_N100_random.png,0.3525252525252525,0.6602613149191656
149,100,random,1802,36.04,0.8245007846862911,topo_149_N100_random.png,0.36404040404040405,0.8362076923796056
150,100,random,2210,44.2,0.8472359997136816,topo_150_N100_random.png,0.44646464646464645,0.8592657197907522
151,100,random,1012,20.24,0.4925352329668205,topo_151_N100_random.png,0.20444444444444446,0.49952863384058876
152,100,random,1054,21.08,0.2330844524459723,topo_152_N100_random.png,0.21292929292929294,0.23639396799794352
153,100,random,2025,40.5,0.8868265533539955,topo_153_N100_random.png,0.4090909090909091,0.8994184111095289
154,100,random,1066,21.32,0.2028390887593836,topo_154_N100_random.png,0.21535353535353535,0.2057191569567785
155,100,random,1168,23.36,0.214019413439113,topo_155_N100_random.png,0.23595959595959595,0.217058228640074
156,100,random,2366,47.32,0.9099402476600126,topo_156_N100_random.png,0.477979797979798,0.9228602917444346
157,100,random,2338,46.76,0.9200021758363396,topo_157_N100_random.png,0.4723232323232323,0.9330650870551112
158,100,random,1907,38.14,0.8034441405365199,topo_158_N100_random.png,0.38525252525252524,0.814852069509655
159,100,random,1695,33.9,0.1331580166765606,topo_159_N100_random.png,0.3424242424242424,0.13504869845492962
160,100,random,2200,44.0,0.8377928740761192,topo_160_N100_random.png,0.4444444444444444,0.8496885132617842
161,100,random,2347,46.94,0.8667523208997989,topo_161_N100_random.png,0.47414141414141414,0.8790591489855973
162,100,random,1001,20.02,0.1380235803130093,topo_162_N100_random.png,0.20222222222222222,0.1399833471734374
163,100,random,1934,38.68,0.8590522934739986,topo_163_N100_random.png,0.3907070707070707,0.8712497905415807
164,100,random,1595,31.9,0.6220031816457328,topo_164_N100_random.png,0.32222222222222224,0.6308348698232584
165,100,random,2243,44.86,0.895500872503259,topo_165_N100_random.png,0.4531313131313131,0.9082158950337313
166,100,random,2218,44.36,0.8805025200090748,topo_166_N100_random.png,0.4480808080808081,0.8930045841877027
167,100,random,2162,43.24,0.8473613522896498,topo_167_N100_random.png,0.43676767676767675,0.8593928522207402
168,100,random,1612,32.24,0.4574234506922792,topo_168_N100_random.png,0.32565656565656564,0.4639183069901412
169,100,random,2405,48.1,0.9127657979445732,topo_169_N100_random.png,0.4858585858585859,0.9257259614042325
170,100,random,1192,23.84,0.3578699546497127,topo_170_N100_random.png,0.2408080808080808,0.36295127246421166
171,100,random,1518,30.36,0.5008292781874228,topo_171_N100_random.png,0.30666666666666664,0.507940444409151
172,100,random,965,19.3,0.2678482108340995,topo_172_N100_random.png,0.19494949494949496,0.27165132944634834
173,100,random,1415,28.3,0.3597087393713376,topo_173_N100_random.png,0.28585858585858587,0.3648161656910118
174,100,random,1869,37.38,0.874450858008887,topo_174_N100_random.png,0.37757575757575756,0.8868669959522181
175,100,random,1886,37.72,0.2002412544172314,topo_175_N100_random.png,0.381010101010101,0.20308443652863226
176,100,random,1946,38.92,0.574324651515298,topo_176_N100_random.png,0.3931313131313131,0.5824793625915802
177,100,random,2018,40.36,0.8515506858374794,topo_177_N100_random.png,0.4076767676767677,0.8636416692063685
178,100,random,1227,24.54,0.5088494418749642,topo_178_N100_random.png,0.24787878787878787,0.5160744846602071
179,100,random,1122,22.44,0.2645431263866996,topo_179_N100_random.png,0.22666666666666666,0.26829931682221053
180,100,random,1732,34.64,0.7688227848729361,topo_180_N100_random.png,0.3498989898989899,0.7797391327311726
181,100,random,1765,35.3,0.8527418061437564,topo_181_N100_random.png,0.3565656565656566,0.8648497019713554
182,100,random,1019,20.38,0.1691855909870538,topo_182_N100_random.png,0.20585858585858585,0.1715878204736854
183,100,random,1205,24.1,0.4387612832703697,topo_183_N100_random.png,0.24343434343434345,0.4449911595034175
184,100,random,1644,32.88,0.6332163831373006,topo_184_N100_random.png,0.3321212121212121,0.6422072851291081
185,100,random,2170,43.4,0.8005283785724002,topo_185_N100_random.png,0.4383838383838384,0.8118949072742396
186,100,random,1214,24.28,0.4107171993817973,topo_186_N100_random.png,0.24525252525252525,0.41654888375435833
187,100,random,1184,23.68,0.4859878263538917,topo_187_N100_random.png,0.2391919191919192,0.49288826202220254
188,100,random,1418,28.36,0.70543260388872,topo_188_N100_random.png,0.2864646464646465,0.7154488883252739
189,100,random,2296,45.92,0.8545349647809938,topo_189_N100_random.png,0.4638383838383838,0.8666683212788984
190,100,random,1567,31.34,0.5767494601522597,topo_190_N100_random.png,0.31656565656565655,0.5849386005601012
191,100,random,2020,40.4,0.8964916266669862,topo_191_N100_random.png,0.4080808080808081,0.9092207167007974
192,100,random,1070,21.4,0.2149465071650091,topo_192_N100_random.png,0.21616161616161617,0.21799848596856908
193,100,random,2179,43.58,0.905481232184434,topo_193_N100_random.png,0.4402020202020202,0.9183379636758966
194,100,random,1784,35.68,0.1083724350120391,topo_194_N100_random.png,0.3604040404040404,0.10991119169578002
195,100,random,2388,47.76,0.9132176846560364,topo_195_N100_random.png,0.4824242424242424,0.9261842643570348
196,100,random,987,19.74,0.125755286977304,topo_196_N100_random.png,0.1993939393939394,0.12754085900335094
197,100,random,1802,36.04,0.603656856506983,topo_197_N100_random.png,0.36404040404040405,0.6122280491957232
198,100,random,1477,29.54,0.4965372624255105,topo_198_N100_random.png,0.29838383838383836,0.503587487246968
199,100,random,2130,42.6,0.8543403968760919,topo_199_N100_random.png,0.4303030303030303,0.8664709907465434
200,100,random,1824,36.48,0.7077375456023287,topo_200_N100_random.png,0.36848484848484847,0.7177865574060129
201,100,random,1691,33.82,0.1470480513176776,topo_201_N100_random.png,0.3416161616161616,0.149135954683243
202,100,random,1398,27.96,0.4944664869949531,topo_202_N100_random.png,0.2824242424242424,0.5014873093255102
203,100,random,2060,41.2,0.7899750019984036,topo_203_N100_random.png,0.4161616161616162,0.8011916855967582
204,100,random,1640,32.8,0.4357759044324234,topo_204_N100_random.png,0.33131313131313134,0.4419633919192935
205,100,random,1457,29.14,0.8149645304873959,topo_205_N100_random.png,0.29434343434343435,0.826536034977075
206,100,random,1104,22.08,0.2867175743078112,topo_206_N100_random.png,0.22303030303030302,0.2907886149166442
207,100,random,1001,20.02,0.1416362508980051,topo_207_N100_random.png,0.20222222222222222,0.14364731328398084
208,100,random,1762,35.24,0.6168196830750338,topo_208_N100_random.png,0.355959595959596,0.625577771881373
209,100,random,1509,30.18,0.1475818735219742,topo_209_N100_random.png,0.30484848484848487,0.14967735651315842
210,100,random,1664,33.28,0.6566558638515865,topo_210_N100_random.png,0.33616161616161616,0.6659795779427855
211,100,random,1207,24.14,0.2610393971919053,topo_211_N100_random.png,0.24383838383838383,0.26474583893702364
212,100,random,2351,47.02,0.893266380939679,topo_212_N100_random.png,0.47494949494949495,0.9059496764094108
213,100,random,1998,39.96,0.8784284319902111,topo_213_N100_random.png,0.4036363636363636,0.8909010466432162
214,100,random,1927,38.54,0.8598010824722877,topo_214_N100_random.png,0.3892929292929293,0.8720092114323404
215,100,random,2006,40.12,0.8712957650825335,topo_215_N100_random.png,0.40525252525252525,0.88366710454618
216,100,random,2224,44.48,0.9070280767629936,topo_216_N100_random.png,0.4492929292929293,0.9199067715649022
217,100,random,1656,33.12,0.5737838994755994,topo_217_N100_random.png,0.33454545454545453,0.5819309325310339
218,100,random,1036,20.72,0.4216134161983526,topo_218_N100_random.png,0.20929292929292928,0.4275998135885929
219,100,random,1453,29.06,0.5615266876331269,topo_219_N100_random.png,0.29353535353535354,0.5694996831978975
220,100,random,2221,44.42,0.8990543787341899,topo_220_N100_random.png,0.4486868686868687,0.9118198567283874
221,100,random,1073,21.46,0.242747398942515,topo_221_N100_random.png,0.21676767676767678,0.24619411657455884
222,100,random,2323,46.46,0.930311159289098,topo_222_N100_random.png,0.4692929292929293,0.9435204455264686
223,100,random,2491,49.82,0.9134262215231024,topo_223_N100_random.png,0.5032323232323233,0.9263957621938158
224,100,random,1249,24.98,0.1947121491697054,topo_224_N100_random.png,0.25232323232323234,0.19747682471572556
225,100,random,2074,41.48,0.8185321331428043,topo_225_N100_random.png,0.41898989898989897,0.8301542932482802
226,100,random,1856,37.12,0.7584752813341377,topo_226_N100_random.png,0.374949494949495,0.7692447072354337
227,100,random,1146,22.92,0.3191098419615514,topo_227_N100_random.png,0.2315151515151515,0.3236408133484294
228,100,random,1628,32.56,0.6932435602497135,topo_228_N100_random.png,0.3288888888888889,0.7030867751011293
229,100,random,2300,46.0,0.917961416541168,topo_229_N100_random.png,0.46464646464646464,0.9309953514616309
230,100,random,1585,31.7,0.6426450593039656,topo_230_N100_random.png,0.3202020202020202,0.6517698370222775
231,100,random,1691,33.82,0.7691946703309568,topo_231_N100_random.png,0.3416161616161616,0.7801162985100981
232,100,random,2297,45.94,0.9046260478998392,topo_232_N100_random.png,0.46404040404040403,0.9174706368152528
233,100,random,1456,29.12,0.0671084617892271,topo_233_N100_random.png,0.29414141414141415,0.06806132027304979
234,100,random,2087,41.74,0.8591819533475082,topo_234_N100_random.png,0.4216161616161616,0.8713812914274932
235,100,random,2175,43.5,0.887008171185865,topo_235_N100_random.png,0.4393939393939394,0.899602607693575
236,100,random,1429,28.58,0.4314738440572767,topo_236_N100_random.png,0.2886868686868687,0.43760024752259297
237,100,random,1836,36.72,0.7845779459404423,topo_237_N100_random.png,0.3709090909090909,0.7957179979111991
238,100,random,2051,41.02,0.8506599991803162,topo_238_N100_random.png,0.41434343434343435,0.8627383358826737
239,100,random,2128,42.56,0.8652913240315697,topo_239_N100_random.png,0.4298989898989899,0.8775774077399288
240,100,random,1796,35.92,0.7896562261328323,topo_240_N100_random.png,0.36282828282828283,0.8008683835018583
241,100,random,2308,46.16,0.9183774902083488,topo_241_N100_random.png,0.46626262626262627,0.9314173328685079
242,100,random,1619,32.38,0.2633552484564448,topo_242_N100_random.png,0.32707070707070707,0.26709457247103935
243,100,random,2528,50.56,0.8985636926228229,topo_243_N100_random.png,0.5107070707070707,0.9113222034714228
244,100,random,2025,40.5,0.8905420065158418,topo_244_N100_random.png,0.4090909090909091,0.9031866191844238
245,100,random,1073,21.46,0.1037987374610707,topo_245_N100_random.png,0.21676767676767678,0.10527255320595405
246,100,random,2417,48.34,0.8962942253779222,topo_246_N100_random.png,0.48828282828282826,0.9090205125536737
247,100,random,2106,42.12,0.8820398105364844,topo_247_N100_random.png,0.4254545454545455,0.8945637023696597
248,100,random,2269,45.38,0.8770311857004971,topo_248_N100_random.png,0.4583838383838384,0.8894839611566908
249,100,random,2264,45.28,0.9118649642308336,topo_249_N100_random.png,0.4573737373737374,0.9248123369481072
