Topology_ID,Edges,Cost,Final_r(t),Efficiency
0,2000,0.40404040404040403,0.8665265602190444,0.8772474375809602
1,2000,0.40404040404040403,0.8913551697658265,0.9023832327239353
2,2000,0.40404040404040403,0.8631796901887079,0.8738591592605738
3,2000,0.40404040404040403,0.885574111375871,0.8965306496734949
4,2000,0.40404040404040403,0.8669272698118122,0.8776531048502714
5,2000,0.40404040404040403,0.8900393403706492,0.9010511235674414
6,2000,0.40404040404040403,0.8758450104080683,0.8866811779021808
7,2000,0.40404040404040403,0.8708643615475604,0.8816389072425642
8,2000,0.40404040404040403,0.8787793643480242,0.8896518363827832
9,2000,0.40404040404040403,0.8903746403092326,0.9013905719184175
10,2000,0.40404040404040403,0.882270930907537,0.8931866014529984
11,2000,0.40404040404040403,0.8779206393496968,0.8887824870299151
12,2000,0.40404040404040403,0.8639225469639542,0.8746112068405231
13,2000,0.40404040404040403,0.8822237493173566,0.8931388361207087
14,2000,0.40404040404040403,0.8650525407418979,0.8757551811763274
15,2000,0.40404040404040403,0.8579019822592061,0.8685161542449101
16,2000,0.40404040404040403,0.8688439866169958,0.8795935357419576
17,2000,0.40404040404040403,0.8767980605661192,0.8876460194285906
18,2000,0.40404040404040403,0.8733405956289648,0.8841457778942999
19,2000,0.40404040404040403,0.8918753891172764,0.9029098883557305
20,2000,0.40404040404040403,0.887315886229661,0.898293974189415
21,2000,0.40404040404040403,0.8865913348433372,0.8975604584771124
22,2000,0.40404040404040403,0.9053461952270334,0.9165473585550825
23,2000,0.40404040404040403,0.8729644521020187,0.8837649806281518
24,2000,0.40404040404040403,0.8866550037759015,0.8976249151371961
25,2000,0.40404040404040403,0.8342167692609597,0.8445379020306691
26,2000,0.40404040404040403,0.8817227443022382,0.8926316325496875
27,2000,0.40404040404040403,0.8779069428803575,0.8887686211045259
28,2000,0.40404040404040403,0.8798755138729647,0.8907615477362547
29,2000,0.40404040404040403,0.8731949500958771,0.8839983303992526
30,2000,0.40404040404040403,0.8800899585341151,0.8909786455589106
31,2000,0.40404040404040403,0.8800416661069265,0.890929755646067
32,2000,0.40404040404040403,0.8806769258008134,0.8915728749273962
33,2000,0.40404040404040403,0.8716845776799673,0.8824692712884563
34,2000,0.40404040404040403,0.8820623207620674,0.8929754103320703
35,2000,0.40404040404040403,0.8875580435651712,0.8985391275543784
36,2000,0.40404040404040403,0.8957147446023446,0.9067967452806781
37,2000,0.40404040404040403,0.9015362241005437,0.9126902495391446
38,2000,0.40404040404040403,0.8664446650639885,0.8771645291991272
39,2000,0.40404040404040403,0.8729107213412263,0.8837105850973183
40,2000,0.40404040404040403,0.8858044555088413,0.8967638436801033
41,2000,0.40404040404040403,0.8653336719340431,0.8760397905919595
42,2000,0.40404040404040403,0.8714596440363942,0.882241554711136
43,2000,0.40404040404040403,0.8866025936049603,0.8975718565348727
